SKU,Name1,Name2,Name3,Name4
ST20231117_205313_ALONE WE CAN DO SO LITTLE;,ALONE WE CAN ,DO SO LITTLE; ,TOGETHER WE ,CAN DO SO MUCH. 
ST20231117_205321_THE ONLY WAY TO DO GREAT,THE ONLY WAY ,TO DO GREAT ,WORK IS TO LOVE ,WHAT YOU DO. 
ST20231117_205323_KNOWLEDGE IS LOVE,KNOWLEDGE ,IS LOVE ,AND LIGHT ,AND VISION. 
ST20231117_205327_THE HIGHEST RESULT OF,THE HIGHEST ,RESULT OF ,EDUCATION IS ,TOLERANCE. 
ST20231117_205329_THE BEST WAY OUT,THE BEST ,WAY OUT ,IS ALWAYS ,THROUGH. 
ST20231117_205331_IT IS A TERRIBLE THING,IT IS A ,TERRIBLE THING ,TO SEE AND HAVE ,NO VISION. 
ST20231117_205339_THE HIGHEST RESULT OF,THE HIGHEST ,RESULT OF ,EDUCATION IS ,TOLERANCE. 
ST20231117_205341_THE HIGHEST RESULT OF,THE HIGHEST ,RESULT OF ,EDUCATION IS ,TOLERANCE. 
ST20231117_205345_THE BEST WAY OUT,THE BEST ,WAY OUT ,IS ALWAYS ,THROUGH. 
ST20231117_205346_THE WELFARE OF EACH IS,THE WELFARE ,OF EACH IS ,BOUND UP IN THE ,WELFARE OF ALL. 
ST20231117_205351_ALONE WE CAN DO SO LITTLE;,ALONE WE CAN ,DO SO LITTLE; ,TOGETHER WE ,CAN DO SO MUCH. 
ST20231117_205356_LIFE IS EITHER A DARING,LIFE IS ,EITHER A DARING ,ADVENTURE OR ,NOTHING AT ALL. 
ST20231117_205357_THE MOST,THE ,MOST ,PATHETIC ,PERSON IN THE 
ST20231117_205308_LIFE IS EITHER A,LIFE IS ,EITHER A ,DARING ADVENTURE ,OR NOTHING.
ST20231117_205314_KEEP YOUR FACE TO THE,KEEP YOUR FACE,TO THE SUNSHINE,AND YOU CANNOT,SEE A SHADOW. 
ST20231117_205325_ONE CAN NEVER CONSENT TO CREEP,ONE CAN NEVER ,CONSENT TO CREEP ,WHEN ONE FEELS AN ,IMPULSE TO SOAR. 
