SKU,Name1,Name2,Name3,Name4
ST20231125_155910_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,FANTASTIC AS MY SINGING ,IN THE SHOWER 
ST20231125_155911_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,SUCCESSFUL AS MY NEW ,YEAR'S RESOLUTIONS 
ST20231125_155912_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,EVENTFUL AS A MONDAY ,MORNING COMMUTE 
ST20231125_155913_WISHING YOU A DAY AS MAGICAL,WISHING YOU A ,DAY AS MAGICAL ,AS MY CULINARY ,SKILLS (NOT) 
ST20231125_155914_WISHING YOU A DAY AS,WISHING YOU ,A DAY AS ,RELAXING AS A ,ROOT CANAL 
ST20231125_155915_HOPE YOUR DAY IS AS RIVETING,HOPE YOUR DAY ,IS AS RIVETING ,AS A POWERPOINT ,PRESENTATION 
ST20231125_155916_WISHING YOU A DAY AS,WISHING YOU A ,DAY AS ,SUCCESSFUL AS MY ,DIET RESOLUTIONS 
ST20231125_155917_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,PRODUCTIVE AS A ,BROKEN PENCIL 
ST20231125_155918_MAY YOUR DAY BE AS RIVETING,MAY YOUR DAY ,BE AS RIVETING ,AS A POWERPOINT ,PRESENTATION 
ST20231125_155919_MAY YOUR DAY BE AS,MAY YOUR ,DAY BE AS ,ORGANIZED AS MY ,SOCK DRAWER 
ST20231125_155920_HOPE YOUR DAY IS AS THRILLING AS,HOPE YOUR DAY IS ,AS THRILLING AS ,READING THE TERMS ,AND CONDITIONS 
ST20231125_155921_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,ADVENTUROUS AS A NAP ,ON A RAINY DAY 
ST20231125_155922_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,EXHILARATING AS A ,SNAIL'S MARATHON 
ST20231125_155923_WISHING YOU A DAY AS,WISHING YOU ,A DAY AS ,DYNAMIC AS MY ,WI-FI CONNECTION 
ST20231125_155924_HOPE YOUR DAY IS AS,HOPE YOUR ,DAY IS AS ,EVENTFUL AS MY ,SOCK DRAWER 
ST20231125_155925_WISHING YOU A DAY AS,WISHING YOU ,A DAY AS ,EXCITING AS A ,TRAFFIC JAM 
ST20231125_155926_MAY YOUR DAY BE AS,MAY YOUR DAY ,BE AS ,RELAXING AS A ROOT ,CANAL APPOINTMENT 
ST20231125_155927_HOPE YOUR DAY IS,HOPE YOUR ,DAY IS ,AS PLEASANT ,AS YOU ARE 
ST20231125_155928_WISHING YOU A DAY AS,WISHING YOU ,A DAY AS ,THRILLING AS A ,ROOT CANAL 
ST20231125_155929_HOPE YOUR DAY IS AS SURPRISING AS,HOPE YOUR DAY IS ,AS SURPRISING AS ,A MENU IN A ,LANGUAGE YOU DON'T SPEAK 
