SKU,Name1,Name2,Name3,Name4
ST20231128_222908_OPOSSUMS MASTERS OF THE SURPRISE,OPOSSUMS: ,MASTERS OF THE SURPRISE ,"PARTY, PRETENDING ",TO BE ROADKILL 
ST20231128_222909_OPOSSUMS NATURES CLEAN-UP CREW,OPOSSUMS: NATURE'S ,CLEAN-UP CREW. ,THEY'RE THE REAL MVPS OF ,BACKYARD SANITATION 
ST20231128_222910_OPOSSUMS REMINDING US THAT A,OPOSSUMS: ,REMINDING US THAT A ,WELL-TIMED FAINTING SPELL ,CAN BE PURE GENIUS 
ST20231128_222911_OPOSSUMS BECAUSE PLAYING POSSUM,OPOSSUMS: BECAUSE ,'PLAYING POSSUM' ,IS MORE FUN THAN ,ADULTING ANY DAY 
ST20231128_222912_THEY MAY LOOK GRUMPY BUT OPOSSUMS ARE THE,"THEY MAY LOOK GRUMPY, ",BUT OPOSSUMS ARE THE ,BACKYARD CUSTODIANS WE ,DIDN'T KNOW WE NEEDED 
ST20231128_222913_IF OPOSSUMS HAD A MOTTO,IF OPOSSUMS ,HAD A MOTTO: ,"'ACT DEAD, LIVE ",FABULOUSLY 
ST20231128_222914_OPOSSUMS TEACHING US THE VALUE OF,OPOSSUMS: ,TEACHING US THE VALUE OF ,A GOOD 'FAKE IT ,TILL YOU MAKE IT 
ST20231128_222915_OPOSSUMS PROOF THAT YOU CAN LOOK,OPOSSUMS: PROOF ,THAT YOU CAN LOOK ,FABULOUS EVEN WHEN CAUGHT ,IN THE HEADLIGHTS 
ST20231128_222916_THE ORIGINAL RECYCLERS OPOSSUMS TURN,THE ORIGINAL ,RECYCLERS: OPOSSUMS TURN ,LEFTOVERS INTO A FEAST ,AND LEAVE NO TRACE 
ST20231128_222917_OPOSSUMS ARE THE REAL MAGICIANS,OPOSSUMS ARE THE ,"REAL MAGICIANS, ",DISAPPEARING BEFORE YOUR ,TRASH EVEN NOTICES 
ST20231128_222918_OPOSSUMS THE ONLY CREATURES THAT TURN,OPOSSUMS: THE ONLY ,CREATURES THAT TURN ,'PLAYING DEAD' INTO A ,LIFESTYLE CHOICE 
ST20231128_222919_WHY DONT OPOSSUMS GAMBLE BECAUSE,WHY DON'T OPOSSUMS ,GAMBLE? BECAUSE ,THEY'RE ALWAYS FOLDING ,AND PLAYING DEAD! 
ST20231128_222920_OPOSSUMS ARE NATURES DRAMA QUEENS,OPOSSUMS ARE ,"NATURE'S DRAMA QUEENS, ",PERFECTING THE ART ,OF FAKE FAINTING 
ST20231128_222921_OPOSSUMS THE UNDERAPPRECIATED COMEDIANS OF THE,OPOSSUMS: THE ,UNDERAPPRECIATED COMEDIANS OF THE ,"ANIMAL KINGDOM, WITH THEIR ",'PLAYING POSSUM' ROUTINE 
ST20231128_222922_OPOSSUMS THE ORIGINAL ESCAPE ARTISTS,OPOSSUMS: THE ,"ORIGINAL ESCAPE ARTISTS, ",VANISHING LIKE MAGIC WHEN ,THINGS GET TOUGH 
ST20231128_222923_OPOSSUMS ARE THE SILENT COMEDIANS OF,OPOSSUMS ARE THE ,SILENT COMEDIANS OF ,"NATURE, WITH A TALENT FOR ",THE ART OF SURPRISE 
ST20231128_222924_WHY DID THE OPOSSUM BECOME A STAND-UP,WHY DID THE OPOSSUM ,BECOME A STAND-UP ,COMEDIAN? ITS DEADPAN ,DELIVERY WAS UNBEATABLE! 
ST20231128_222925_OPOSSUMS THE ONLY CREATURES THAT CAN,"OPOSSUMS, THE ONLY ",CREATURES THAT CAN ,MAKE 'PLAYING DEAD' ,LOOK FASHIONABLE 
ST20231128_222926_OPOSSUMS ARE THE ORIGINAL STEALTH EXPERTS,OPOSSUMS ARE THE ,"ORIGINAL STEALTH EXPERTS, ",SILENTLY PATROLLING OUR YARDS ,FOR UNWANTED GUESTS 
ST20231128_222927_WHY DID THE OPOSSUM BECOME A THERAPIST IT HAD,WHY DID THE OPOSSUM ,BECOME A THERAPIST? IT HAD ,A KNACK FOR 'PLAYING ,POSSUM' WITH EMOTIONS 
ST20231128_222928_OPOSSUMS THE ORIGINAL INFLUENCERS,OPOSSUMS: THE ,ORIGINAL INFLUENCERS ,OF THE 'PLAYING ,POSSUM' TREND 
ST20231128_222929_OPOSSUMS THE ONLY CREATURES THAT CAN MAKE,OPOSSUMS: THE ONLY ,CREATURES THAT CAN MAKE ,A DUMPSTER LOOK LIKE ,A FIVE-STAR HOTEL 
ST20231128_222930_AN OPOSSUMS STRATEGY PLAY DEAD,AN OPOSSUM'S ,"STRATEGY: PLAY DEAD, ",THEN SNEAK AWAY LIKE ,A FURRY NINJA 
ST20231128_222931_OPOSSUMS MAKE PLAYING DEAD,OPOSSUMS MAKE ,PLAYING DEAD ,TRENDY; ZOMBIES GOT ,NOTHING ON THEM 
ST20231128_222932_OPOSSUMS ARE THE JEDI KNIGHTS OF ACTING,OPOSSUMS ARE THE ,JEDI KNIGHTS OF ACTING ,"DEAD, MASTERING THE ",FORCE OF SURPRISE 
ST20231128_222933_OPOSSUMS ARE THE ORIGINAL INFLUENCERS,OPOSSUMS ARE THE ,"ORIGINAL INFLUENCERS, ",TURNING PLAYING DEAD ,INTO AN ART FORM 
ST20231128_222934_OPOSSUMS MAKING PLAYING POSSUM,OPOSSUMS: MAKING ,'PLAYING POSSUM' ,AN ART FORM SINCE ,TIME IMMEMORIAL 
